	V1	V2	V3	V4	accession
B22K101	-0.0358	-0.0521	-0.0419	-0.0643	Landrace2
B22GB0533	-0.0311	-0.0604	-0.0264	-0.0198	Landrace2
B22GB0429	-0.0496	-0.0372	-0.0371	-0.0426	Landrace2
B22GB0051	-0.0339	-0.0497	-0.0299	-0.0485	Landrace2
B22GB0361	-0.053	-0.0302	-0.0226	-0.057	Landrace2
B22GB0489	-0.0113	-0.0864	-0.0433	-0.0359	Landrace2
B22GB0052	-0.0168	-0.0786	-0.0442	-0.0409	Landrace2
B22GB0053	-0.0249	-0.0875	-0.0553	-0.0576	Landrace2
B22GB0275	-0.0057	-0.0792	-0.0469	-0.0228	Landrace2
B22GB0264	-0.0069	-0.0731	-0.0347	-0.0192	Landrace2
B22GB0049	-0.0262	-0.0275	0.0172	0.0203	Landrace2
B22GB0281	0.0112	-0.0724	-0.0249	-0.0106	Landrace2
B22GB0517	-0.0015	-0.0754	-0.0281	0.0016	Landrace2
B22GB0593	0.0021	-0.0716	-0.0202	0.0042	Landrace2
B22GB0278	-0.0189	-0.0804	-0.0526	-0.0245	Landrace2
B22GB0034	-0.0284	-0.0794	-0.0585	-0.0265	Landrace2
B22GB0273	-0.0282	-0.0789	-0.0589	-0.0268	Landrace2
B22GB0651	-0.0066	-0.0573	0.0085	0.1014	Landrace2
B21GB1462	0.0546	-0.0231	-0.0035	-0.0493	Cultivar
B21GB0647	0.0159	-0.0453	0.0013	-0.0234	Cultivar
B21GB0649	0.0252	-0.0466	0.0008	-0.0148	Cultivar
B21GB0211	0.0834	0.004	0.0537	-0.0226	Cultivar
B21GB0230	0.0914	0.0256	0.0615	-0.0086	Cultivar
B21GB0662	0.0113	0.0136	0.0959	0.0045	Cultivar
B21GB0740	0.1021	0.0257	0.0515	-0.0151	Cultivar
B21GB0739	0.1004	0.026	0.0608	-0.0272	Cultivar
B21GB1336	0.0874	0.0198	0.0679	-0.0166	Cultivar
B21GB0232	0.1025	0.0459	0.0631	-0.0304	Cultivar
P211GB0236	0.1001	0.0535	0.0382	-0.0525	Cultivar
B21GB1468	0.1065	0.0225	0.0318	-0.0245	Cultivar
B21GB1465	0.1103	0.0211	0.0204	-0.0316	Cultivar
B21GB1438	0.1044	0.0183	0.066	-0.0301	Cultivar
B21GB0805	0.0863	0.0189	0.0561	0.0389	Cultivar
B21GB1512	0.11	0.0366	0.0384	-0.0171	Cultivar
B21GB1444	0.1016	0.0253	0.0216	-0.0067	Cultivar
B21GB0254	0.1027	0.1208	-0.2076	0.0196	Cultivar
B21GB1449	0.077	0.122	-0.1312	0.0156	Cultivar
B21GB0785	0.099	0.0294	0.0614	-0.0152	Cultivar
B21GB1439	0.0383	0.0037	0.0732	0.0976	Cultivar
B21GB1464	0.093	0.0247	0.0611	0.0159	Cultivar
B21GB1482	0.1065	0.0349	0.0578	-0.0172	Cultivar
P216JunH1	0.0619	0.0364	0.0323	-0.0105	Cultivar
B21GB0790	0.0924	0.0244	0.0466	0.0127	Cultivar
B21GB1086	0.0915	0.0161	0.0653	-0.0226	Cultivar
B21GB1069	0.1118	0.032	0.0665	-0.0407	Cultivar
B21GB1084	0.0915	0.0224	0.0517	-0.0039	Cultivar
B21GB0242	0.0918	0.0497	0.0646	-0.0353	Cultivar
B21GB1480	0.1065	0.0324	0.065	-0.033	Cultivar
B21GB0220	0.1221	0.0356	0.0709	-0.0349	Cultivar
B21GB0258	0.1042	0.0091	0.0274	-0.0455	Cultivar
B21GB0853	0.0975	0.0202	-0.02	0.0289	Cultivar
B21GB0683	0.1026	0.0324	0.0111	0.0399	Cultivar
B21GB0255	0.1234	0.0291	-0.0018	-0.0399	Cultivar
B21GB0251	0.1143	0.0078	-0.0412	-0.0185	Cultivar
B21GB0227	0.1084	-0.0001	-0.0475	-0.0254	Cultivar
B21GB0252	0.1063	0.0064	-0.0797	-0.0219	Cultivar
B21GB0249	0.1101	0.0062	-0.0742	-0.024	Cultivar
B21GB0245	0.1068	0.0004	-0.0512	-0.0278	Cultivar
B21GB0238	0.1087	-0.0007	-0.0594	-0.0203	Cultivar
B21SA0706	0.1092	-0.0009	-0.0498	-0.0295	Cultivar
P211DP0340	0.116	0.042	0.0424	-0.0519	Cultivar
B21GB1031	0.1222	0.022	0.0521	-0.026	Cultivar
B21PS7	0.1119	0.0411	0.055	-0.0637	Cultivar
B21GB0224	0.0704	-0.0019	0.0334	-0.0073	Cultivar
P214GB1030	0.1073	0.0458	0.0373	-0.0621	Cultivar
B21GB1027	0.1357	0.0466	0.0348	-0.0306	Cultivar
B21GB1329	0.1181	0.0374	0.0607	-0.0266	Cultivar
B21PHY76-2	0.1212	0.0549	0.0521	-0.0524	Cultivar
P211PHY76	0.1254	0.0486	0.0486	-0.0412	Cultivar
B21GB1513	0.1228	0.0408	0.0778	-0.0443	Cultivar
B21SA1497	0.1242	0.0413	0.0736	-0.0464	Cultivar
