	V1	V2	V3	V4	accession
B12BPS1244	-0.0506	-0.047	0.1648	-0.0547	Wild
B12BPS1247	-0.0487	-0.0545	0.1552	-0.0487	Wild
B12TX2276	-0.0393	-0.0672	0.1405	-0.0346	Wild
B12TX2091	-0.0372	-0.084	0.1333	-0.0515	Wild
B12TX2090	-0.0387	-0.0804	0.146	-0.0611	Wild
B12TX2093	-0.0381	-0.0843	0.1279	-0.0559	Wild
B12TX2092	-0.0377	-0.0795	0.134	-0.0553	Wild
B12TX1996	-0.0348	-0.087	0.1149	-0.0585	Wild
B12TX2095	-0.0383	-0.0827	0.1358	-0.0627	Wild
P121TX2094	-0.0211	-0.0618	0.0876	0.006	Wild
P124TX2094	-0.0367	-0.0821	0.1234	-0.0639	Wild
B12TX1678	-0.0469	-0.0618	0.1866	-0.0675	Wild
B12BPS1173	-0.0514	-0.054	0.1736	-0.066	Wild
B12TX0969	-0.0553	-0.0389	0.1507	-0.0598	Wild
B12TX0967	-0.0645	-0.0125	0.1097	-0.0482	Wild
B12TX1894	-0.0455	-0.0592	0.1805	-0.0633	Wild
B12TX1037	-0.0456	-0.0605	0.1866	-0.0658	Wild
B12LKSP	-0.0463	-0.0631	0.1866	-0.0645	Wild
B12BPS1206	-0.0461	-0.0647	0.1875	-0.0703	Wild
B12TX2211	-0.0456	-0.0615	0.1867	-0.07	Wild
B12BPS1152	-0.0472	-0.0635	0.1925	-0.0713	Wild
B12BPS1148	-0.0471	-0.0633	0.1936	-0.0731	Wild
B12BPS1151	-0.0474	-0.0636	0.1938	-0.071	Wild
B12BPS1149	-0.047	-0.0632	0.1927	-0.0713	Wild
B12BPS1242	-0.0391	-0.0283	0.0342	-0.0138	Wild
B12BPS1238	-0.0725	0.0068	0.0529	-0.0297	Landrace1
B12BPS1239	-0.0757	0.0165	0.058	-0.0427	Landrace1
B12BPS1240	-0.0725	0.0139	0.0694	-0.035	Landrace1
B12TX2495	-0.0351	0.0234	-0.0019	0.0117	Landrace1
B12TX2465	-0.0489	0.0306	0.0055	0.0097	Landrace1
B12TX2487	-0.0621	0.0313	-0.0164	-0.005	Landrace1
B12TX2463	-0.0769	0.044	-0.0098	-0.0009	Landrace1
B12TX2470	-0.0648	0.0348	-0.009	-0.006	Landrace1
B12TX2475	-0.0698	0.0372	-0.0094	0.0047	Landrace1
B12TX2482	-0.0604	0.0303	-0.0052	0.0024	Landrace1
B12TX2415	-0.0694	0.0394	0.0008	0.0013	Landrace1
B12TX2489	-0.0675	0.041	0.0076	0.0029	Landrace1
B12TX1416	-0.0777	0.0276	-0.0186	-0.0009	Landrace1
B12TX2417	-0.0748	0.0376	-0.0189	-0.0028	Landrace1
B12TX1698	-0.0791	0.0422	-0.0168	-0.005	Landrace1
B12TX1705	-0.0795	0.044	-0.0146	-0.0017	Landrace1
B12TX0902	-0.0837	0.0479	-0.0175	0.0047	Landrace1
B12TX1931	-0.0841	0.0512	-0.0203	-0.005	Landrace1
B12TX1935	-0.0843	0.0512	-0.0223	-0.0038	Landrace1
B12TX1066	-0.0851	0.0522	-0.019	-0.0005	Landrace1
B12TX1929	-0.0813	0.0516	-0.0224	-0.0015	Landrace1
B12TX1920	-0.084	0.0522	-0.018	0.0013	Landrace1
B12TX0939	-0.0846	0.0519	-0.0088	-0.0013	Landrace1
B12TX1957	-0.0836	0.0523	-0.0224	-0.0071	Landrace1
B12TX1925	-0.0861	0.0566	-0.0197	-0.0058	Landrace1
B12TX1592	-0.0889	0.0549	-0.0177	0.0011	Landrace1
B12TX0710	-0.0875	0.0553	-0.0142	0.0069	Landrace1
B12TX0713	-0.0812	0.0535	-0.0156	0.0136	Landrace1
B12TX0691	-0.0805	0.0478	-0.001	0.0284	Landrace1
B12TX0956	-0.0819	0.0508	-0.0175	0.0088	Landrace1
B12TX0712	-0.0818	0.0522	-0.0179	0.0071	Landrace1
B12TX1594	-0.0858	0.0498	-0.0169	0.0018	Landrace1
B12TX1596	-0.0751	0.0439	-0.0135	-0.0006	Landrace1
B12TX1833	-0.0846	0.0512	-0.0164	0.0021	Landrace1
B12TX1586	-0.0836	0.0499	-0.0162	-0.0009	Landrace1
B12TX1582	-0.0859	0.0548	-0.0152	-0.001	Landrace1
B12TX1263	-0.0829	0.0501	-0.0131	-0.0011	Landrace1
B12TX1792	-0.087	0.0486	-0.0169	-0.0064	Landrace1
B12TX1572	-0.0873	0.0556	-0.0181	-0.0012	Landrace1
B12TX2207	-0.086	0.0485	-0.0147	-0.0048	Landrace1
B12TX2192	-0.085	0.0431	-0.0015	-0.0157	Landrace1
B12TX2213	-0.0842	0.0465	-0.0182	-0.0039	Landrace1
B12TX2216	-0.084	0.0492	-0.0147	-0.0059	Landrace1
B12TX1874	-0.0857	0.0334	-0.0232	-0.0105	Landrace1
B12TX2003	-0.0842	0.035	-0.0248	-0.0091	Landrace1
B12TX0674	-0.0778	0.0146	-0.035	-0.0178	Landrace1
B12TX1373	-0.0745	0.0036	-0.0489	-0.0241	Landrace1
B12TX1367	-0.0745	0.004	-0.0491	-0.0233	Landrace1
B12TX1635	-0.0881	0.044	-0.0131	-0.0052	Landrace1
B12TX1629	-0.0837	0.0417	-0.0122	-0.0101	Landrace1
B12TX1859	-0.0893	0.0424	-0.0214	-0.0114	Landrace1
B12TX1236	-0.081	0.0297	0.0132	-0.0248	Landrace1
B12TX1075	-0.0933	0.0535	-0.0198	-0.0125	Landrace1
B12TX2284	-0.0917	0.0572	-0.0193	-0.0096	Landrace1
