	V1	V2	V3	V4	accession
B12TX1666	-0.0894	0.0592	-0.0221	-0.0052	Landrace1
B12TX1496	-0.0878	0.0518	-0.0238	-0.0074	Landrace1
B12TX1515	-0.0822	0.0326	-0.0064	0.0051	Landrace1
B12TX1514	-0.0808	0.0491	-0.0193	-0.0103	Landrace1
B12TX1229	-0.0861	0.0536	-0.0166	-0.0034	Landrace1
B12TX2246	-0.0861	0.0526	-0.0026	-0.0047	Landrace1
B12TX2226	-0.0843	0.0529	-0.0158	-0.0044	Landrace1
B12TX1690	-0.0897	0.0586	-0.0194	-0.007	Landrace1
B12TX1674	-0.087	0.0533	-0.0159	-0.0022	Landrace1
B12TX1694	-0.0876	0.0524	-0.0172	0.0013	Landrace1
B12TX1520	-0.0833	0.049	-0.0102	0.0002	Landrace1
B12TX1503	-0.0887	0.0468	-0.0071	-0.0052	Landrace1
B12TX1497	-0.0899	0.0509	-0.0038	-0.0127	Landrace1
B12TX1487	-0.0914	0.0543	-0.0139	-0.0102	Landrace1
B12TX1905	-0.0903	0.0578	-0.0185	-0.0016	Landrace1
B12TX1288	-0.089	0.0605	-0.0216	-0.0027	Landrace1
B12TX1509	-0.0815	0.0534	-0.016	-0.0045	Landrace1
B12TX1286	-0.0898	0.0507	-0.0038	-0.0065	Landrace1
B12TX1689	-0.0922	0.0545	-0.0139	-0.0158	Landrace1
B12TX0834	-0.0895	0.0588	-0.0159	-0.002	Landrace1
B12TX1672	-0.0897	0.0607	-0.0194	-0.0033	Landrace1
B12TX1245	-0.0882	0.0553	-0.0123	0.0038	Landrace1
B12TX2166	-0.087	0.0563	-0.0122	-0.0032	Landrace1
B12TX2160	-0.0901	0.0609	-0.0162	-0.0034	Landrace1
B12TX1688	-0.0883	0.0464	-0.0101	-0.024	Landrace1
B12TX1273	-0.0901	0.0563	-0.0089	-0.0088	Landrace1
B12TX2174	-0.091	0.0618	-0.0207	-0.0046	Landrace1
B12TX0853	-0.0918	0.0619	-0.0203	-0.0048	Landrace1
B12TX1551	-0.0909	0.0605	-0.0192	-0.001	Landrace1
B12TX2247	-0.0897	0.0594	-0.0219	-0.0059	Landrace1
B12TX1089	-0.0932	0.0648	-0.021	-0.0078	Landrace1
B12TX2277	-0.0924	0.06	-0.0152	-0.0029	Landrace1
B12TX1578	-0.0907	0.0598	-0.019	-0.0057	Landrace1
B12TX1579	-0.0918	0.0594	-0.0215	-0.0056	Landrace1
B12TX2405	-0.0497	0.0406	-0.0238	-0.0085	Landrace2
B12TX1661	-0.0333	0.0265	-0.0141	-0.0083	Landrace2
B12TX1699	-0.0571	0.0025	-0.0201	0.038	Landrace2
B12TX1712	-0.0372	0.0209	0.0061	0.0204	Landrace2
B12TX2163	-0.0391	0.0337	-0.0068	0.0139	Landrace2
B12TX1009	-0.0404	0.0125	0.0204	0.0772	Landrace2
B12TX1477	-0.0628	0.0281	-0.0004	0.0422	Landrace2
B12TX2335	-0.045	0.016	0.007	0.0864	Landrace2
B12TX2116	-0.0521	0.0184	0.0116	0.0829	Landrace2
B12TX0390	-0.0493	0.0077	0.0118	0.0797	Landrace2
B12TX1317	-0.028	-0.0004	0.0056	0.0472	Landrace2
B12TX1855	-0.0232	-0.0139	0.012	0.1025	Landrace2
B12TX0194	-0.007	-0.0148	0.0198	0.1041	Landrace2
B12TX0147	-0.001	-0.0186	0.0182	0.0998	Landrace2
P124TX0171	-0.0038	-0.017	0.0086	0.0931	Landrace2
B12TX0286	-0.0154	-0.0258	0.0219	0.1197	Landrace2
B12TX0130	-0.016	-0.0287	0.0204	0.1329	Landrace2
B12TX0279	-0.025	-0.0748	-0.0259	0.0584	Landrace2
B12TX1244	-0.0257	-0.0031	0.0022	0.068	Landrace2
B12TX0746	-0.0049	-0.0242	0.0231	0.1163	Landrace2
B12TX0751	-0.0181	-0.0282	0.012	0.1235	Landrace2
B12TX0012	-0.0092	-0.0264	0.0162	0.1121	Landrace2
B12TX0461	-0.008	-0.0345	0.0216	0.1165	Landrace2
B12TX0014	-0.005	-0.023	0.0239	0.1062	Landrace2
P124TX0463	-0.0047	-0.0291	0.0308	0.1072	Landrace2
B12TX0009	-0.0057	-0.0267	0.0237	0.11	Landrace2
B12TX2330	-0.0085	-0.0419	0.025	0.1156	Landrace2
P124TX0246	-0.0029	-0.0292	0.0273	0.0964	Landrace2
B12TX0315	-0.0106	-0.0425	0.0276	0.1361	Landrace2
P124TX0236	-0.0086	-0.0418	0.025	0.1325	Landrace2
B12TX2288	-0.01	-0.0417	0.025	0.1342	Landrace2
B12TX0249	-0.0096	-0.0428	0.0253	0.1363	Landrace2
B12TX0303	-0.0097	-0.0431	0.0252	0.1368	Landrace2
P124TX0368	0.0029	-0.0205	0.0232	0.0894	Landrace2
B12TX1168	-0.0006	-0.021	0.0152	0.0881	Landrace2
B12TX0044	0.0004	-0.0314	0.0118	0.0812	Landrace2
P124TX0045	0.0104	-0.0178	0.0057	0.0462	Landrace2
B12TX1105	0.0007	-0.0332	0.0207	0.0925	Landrace2
P124TX0018	0.0029	-0.0249	0.0129	0.0699	Landrace2
B12TX1102	0.0002	-0.0272	0.0141	0.0822	Landrace2
B12TX0248	-0.0159	-0.0296	0.0312	0.1145	Landrace2
B12TX1443	-0.016	-0.0292	0.0292	0.1087	Landrace2
B12TX0756	-0.0034	-0.025	0.0218	0.0935	Landrace2
B12TX1249	-0.0286	-0.0172	0.0592	0.0584	Landrace2
B12TX0786	-0.0164	-0.0273	0.0372	0.1282	Landrace2
B12TX1721	-0.0078	-0.0413	-0.0137	0.0099	Landrace2
B12TX2249	-0.0411	-0.0483	-0.0205	0.0151	Landrace2
B12BPS1207	-0.0381	-0.0589	0.0977	0.0054	Landrace2
B12TX2253	-0.0282	-0.0538	0.0081	0.079	Landrace2
B12TX2252	-0.0284	-0.0545	0.0085	0.0809	Landrace2
B12TX1257	0.0023	-0.0261	0.0117	0.0879	Landrace2
B12TX1183	-0.0027	-0.04	-0.015	0.0701	Landrace2
B12TX1182	-0.0005	-0.0301	0.0043	0.0913	Landrace2
B12Gh2091	-0.0056	-0.0415	0.009	0.098	Landrace2
B12TX1115	-0.0119	-0.0445	-0.0018	0.1139	Landrace2
B12TX1055	-0.0108	-0.0378	0.0099	0.1287	Landrace2
B12TX1110	-0.0103	-0.037	0.01	0.1269	Landrace2
B12TX1113	-0.0117	-0.0391	-0.0004	0.1248	Landrace2
B12TX1349	-0.0118	-0.0441	-0.0003	0.13	Landrace2
B12TX2329	-0.0132	-0.0424	0.0016	0.1274	Landrace2
B12TX1292	-0.0119	-0.0416	0.0005	0.1247	Landrace2
B12TX0698	-0.0143	-0.0301	0.0269	0.1199	Landrace2
B12TX0959	-0.013	-0.0392	-0.0045	0.1115	Landrace2
B12TX1226	-0.0167	-0.0575	-0.024	0.0783	Landrace2
B12TX1459	-0.0208	-0.0638	-0.0128	0.0736	Landrace2
B12TX0665	-0.0277	-0.0935	-0.059	0.0305	Landrace2
B12TX1228	-0.018	-0.0734	-0.0418	0.0172	Landrace2
B12TX0672	0.0015	-0.0472	-0.0183	0.0267	Landrace2
B12TX1975	-0.0109	-0.0728	-0.0631	-0.0357	Landrace2
B12TX1968	-0.0253	-0.0737	-0.039	0.0488	Landrace2
B12TX2081	-0.0359	-0.126	-0.0938	-0.0413	Landrace2
B12TX1895	-0.0355	-0.1269	-0.0944	-0.0425	Landrace2
B12TX0481	-0.0357	-0.1281	-0.0938	-0.0407	Landrace2
B12TX0664	-0.0356	-0.1285	-0.0941	-0.041	Landrace2
B12TX1107	-0.0357	-0.1267	-0.0933	-0.0401	Landrace2
B12TX1981	-0.0394	-0.1127	-0.0793	-0.0375	Landrace2
B12TX1982	-0.0401	-0.1146	-0.0761	-0.0432	Landrace2
B12TX1988	-0.0464	-0.0865	-0.0886	-0.032	Landrace2
B12TX0670	-0.015	-0.0477	-0.0474	-0.0103	Landrace2
B12TX1990	-0.0445	-0.0954	-0.0925	-0.0312	Landrace2
B12TX2228	-0.0418	-0.1297	-0.0897	-0.0629	Landrace2
B12TX0662	-0.0421	-0.1305	-0.0895	-0.0608	Landrace2
B12OWS	-0.0416	-0.1287	-0.0864	-0.0612	Landrace2
B12TX1748	-0.0411	-0.1308	-0.0909	-0.0616	Landrace2
B12TX1439	-0.0413	-0.1309	-0.0906	-0.0603	Landrace2
B12TX0480	-0.0401	-0.1297	-0.0911	-0.0605	Landrace2
B12TX1106	-0.0407	-0.1304	-0.0909	-0.0577	Landrace2
B12TX0069	-0.0402	-0.1278	-0.0807	-0.0382	Landrace2
B12TX1046	-0.0366	-0.125	-0.0878	-0.0502	Landrace2
B12TX2400	-0.0368	-0.1195	-0.0794	-0.0492	Landrace2
B12TX2254	-0.0504	-0.0779	-0.0898	-0.0311	Landrace2
B12KLM1872	-0.065	-0.0278	-0.0531	-0.0118	Landrace2
B12TX0879	-0.0587	-0.0577	-0.0601	-0.0324	Landrace2
B12TX0217	-0.0166	-0.0798	-0.0289	0.0359	Landrace2
P121TX0231	-0.0303	-0.1148	-0.0921	-0.0357	Landrace2
B12TX0937	-0.0337	-0.1097	-0.0874	-0.0136	Landrace2
B12TX1111	-0.0351	-0.1086	-0.0895	-0.0107	Landrace2
B12TX0663	-0.0373	-0.1301	-0.0795	-0.0446	Landrace2
B12TX2089	-0.0338	-0.1242	-0.0786	-0.0426	Landrace2
B12TX2096	-0.0351	-0.0964	0.0604	-0.0384	Landrace2
B12TX0686	-0.0379	-0.1057	-0.0052	-0.0453	Landrace2
B12BPS1157	-0.0584	-0.0639	0.0003	-0.0448	Landrace2
B12TX1120	-0.0365	-0.1305	-0.0784	-0.0465	Landrace2
B12TX0668	-0.0378	-0.1335	-0.0802	-0.0478	Landrace2
B12TX1108	-0.0377	-0.1331	-0.0797	-0.0464	Landrace2
B12TX0487	-0.0379	-0.1337	-0.0802	-0.0473	Landrace2
B12TX0752	-0.0379	-0.1335	-0.0801	-0.0471	Landrace2
B12TX0953	0.0027	-0.0178	0.0149	0.0526	Landrace2
B12TX0213	0.0012	-0.041	0.0231	0.0908	Landrace2
B12TX0006	-0.005	-0.0353	0.0282	0.0848	Landrace2
B12TX0089	0.0022	-0.0308	0.0146	0.081	Landrace2
B12TX0634	-0.0002	-0.0317	0.0224	0.0932	Landrace2
B12TX0215	-0.0003	-0.0373	0.0223	0.0937	Landrace2
B12TX0200	0.0025	-0.0366	0.0131	0.0878	Landrace2
B12TX0240	0.0002	-0.0398	0.0231	0.1005	Landrace2
B12TX1453	0.0028	-0.0352	-0.0008	0.0604	Landrace2
B12TX0112	0.0075	-0.0257	0.0056	0.0643	Landrace2
B12TX0109	0.0108	-0.0214	0.0041	0.0533	Landrace2
B12TX0704	0.0101	-0.0233	0.007	0.0614	Landrace2
B11SA0825	0.0136	-0.0005	0.0041	0.041	Cultivar
B11SA1250	0.0138	-0.0059	0.0088	0.0431	Cultivar
B11SA1205	0.0189	0.0037	0.0047	0.02	Cultivar
B11SA0084	0.0183	0.0051	0.0011	0.0153	Cultivar
P115HAU185	0.0209	-0.0015	-0.0043	-0.0132	Cultivar
B11SA0668A	0.0194	0.0066	0.0022	0.0122	Cultivar
B11SA0002	0.0137	-0.0039	0.0034	0.0476	Cultivar
B11SA0165	0.0164	-0.0008	0	0.0167	Cultivar
B11DIV293	0.0131	-0.0095	0.0059	0.0326	Cultivar
B11SA1138	0.018	0.0034	0.0056	0.0197	Cultivar
B11SA1237	0.017	0	0.0065	0.0268	Cultivar
B11SA1232	0.0137	-0.0082	0.0028	0.0325	Cultivar
B11DIV213	0.0144	-0.0055	0.0081	0.0386	Cultivar
B11SA1055	0.0174	0.0021	0.0068	0.0269	Cultivar
B11SA3251	0.0176	0.0008	0.0041	0.0223	Cultivar
B11DIV308	0.0189	0.0059	0.0044	0.0145	Cultivar
B11SA1725	0.0181	0.0045	0.0053	0.0276	Cultivar
B11SA1230	0.0189	0.005	0.0044	0.017	Cultivar
B11SA2558	0.0176	0.0019	0.0064	0.023	Cultivar
P115HAU159	0.0185	0.0046	0.0032	0.0086	Cultivar
P115HAU104	0.0208	0.0107	-0.0022	-0.0064	Cultivar
P115HAU047	0.0179	0.0081	-0.0004	0.0086	Cultivar
B11SA0053	0.0175	0.0027	0.0051	0.0261	Cultivar
B11SA0159	0.0204	-0.0064	0.0002	0.0015	Cultivar
B11DIV366	0.0163	0.0035	0.0007	0.0195	Cultivar
B11DIV037	0.0179	0.0061	0.003	0.0176	Cultivar
B11DIV178	0.0179	-0.0089	-0.0087	0.0062	Cultivar
B11SA0883	0.0187	-0.0095	-0.0012	0.0109	Cultivar
P115HU133	0.0183	-0.0043	-0.004	-0.0022	Cultivar
B11SA2589	0.0206	-0.0042	-0.0019	0.0003	Cultivar
P115HU271	0.0171	-0.0081	-0.0002	0.0031	Cultivar
B11SA0186	0.0178	-0.0087	-0.0035	0.005	Cultivar
P115HAU124	0.0198	-0.0039	-0.0039	-0.0094	Cultivar
B11SA0333	0.0202	0.0078	0.0055	0.0093	Cultivar
B11SA1166	0.0198	0.0076	0.0014	0.0087	Cultivar
B11SA0857	0.0211	0.0105	-0.0001	0.0026	Cultivar
P113Ug4	0.0226	0.0131	-0.0038	-0.0144	Cultivar
B11SA1766	0.0164	0.0015	-0.004	0.0112	Cultivar
B11SA3332	0.015	0.0004	-0.004	0.0154	Cultivar
B11DIV034	0.0173	0.0048	-0.0014	0.0075	Cultivar
B11SA3335	0.0185	-0.0061	-0.0016	0.0047	Cultivar
B11SA0982	0.0179	-0.0082	-0.0043	0.0045	Cultivar
B11DIV306	0.0177	0.0033	0.0039	0.0219	Cultivar
B11SA0904	0.0201	-0.0027	-0.0056	-0.0075	Cultivar
B11DIV012	0.0184	0.0044	0.0006	0.0187	Cultivar
B11SA1291	0.0166	0.0041	-0.0033	0.0075	Cultivar
B11SA0238	0.0168	0.0017	0.0003	0.0246	Cultivar
B11DIV058	0.0179	0.0026	-0.0005	0.0125	Cultivar
P115HAU072	0.0191	0.0055	-0.0005	0.0001	Cultivar
B11SA1263	0.0195	0.0061	0.0023	0.0106	Cultivar
B11SA1278	0.0203	0.0075	0.001	0.0091	Cultivar
B11SA3489	0.0159	-0.0011	-0.0013	0.0231	Cultivar
B11SA2356	0.0171	-0.0047	-0.0012	0.0156	Cultivar
P115HAU176	0.0197	0.009	-0.0008	-0.0008	Cultivar
P115HAU121	0.0188	0.0076	0.0014	0.007	Cultivar
P115HAU123	0.0218	0.0101	-0.0027	-0.0063	Cultivar
P115HAU180	0.0194	0.0084	-0.0008	-0.0045	Cultivar
P115HAU248	0.0205	-0.0023	-0.0056	-0.013	Cultivar
P115HAU070	0.0196	-0.0049	-0.004	-0.0098	Cultivar
P115HAU071	0.0196	-0.0049	-0.004	-0.0098	Cultivar
P115HAU126	0.0203	-0.0027	-0.0048	-0.0085	Cultivar
P115HAU275	0.0176	-0.0092	-0.003	0.0001	Cultivar
P115HAU270	0.0187	-0.01	-0.003	0.0016	Cultivar
P115HAU279	0.0211	0.0108	-0.0034	-0.014	Cultivar
P115HAU277	0.0227	0.0124	-0.0036	-0.0164	Cultivar
P115HAU278	0.0213	0.0107	-0.0019	-0.0129	Cultivar
P115HAU280	0.0211	0.0111	-0.0046	-0.0135	Cultivar
P115HAU165	0.0198	0.0092	-0.0005	-0.0092	Cultivar
P115HAU119	0.0195	0.0073	0.0017	-0.0065	Cultivar
P115HAU196	0.0181	0.005	-0.0003	0.0051	Cultivar
P115HAU112	0.0188	0.0062	-0.0011	-0.0015	Cultivar
P115HAU181	0.0225	0.0137	-0.002	-0.0143	Cultivar
P115HAU105	0.0214	0.012	-0.0044	-0.0158	Cultivar
P113JinM33	0.0235	0.0144	-0.0045	-0.0194	Cultivar
P111Cok312	0.024	0.0139	-0.0026	-0.0163	Cultivar
B11SA3403	0.0227	0.0128	-0.0034	-0.0103	Cultivar
B11SA3360	0.0223	0.013	-0.0035	-0.0097	Cultivar
P112Cok315	0.0237	0.0037	-0.0077	-0.0257	Cultivar
B11SA1184	0.0225	0.0127	-0.0005	-0.0056	Cultivar
B11SA2374	0.0223	0.012	-0.0027	-0.007	Cultivar
B11DIV230	0.0141	0.0099	-0.012	-0.0024	Cultivar
P115HAU274	0.0221	0.0137	-0.0029	-0.0176	Cultivar
B11DIV079	0.0222	0.0126	-0.0036	-0.0077	Cultivar
P115HU018	0.0227	0.0129	-0.0009	-0.015	Cultivar
P115HAU163	0.0219	0.0126	-0.0032	-0.0183	Cultivar
P115HAU106	0.0235	0.0151	-0.0032	-0.0221	Cultivar
P115HAU113	0.0228	0.0143	-0.0024	-0.0167	Cultivar
P117ST2B	0.024	0.0137	-0.0019	-0.0141	Cultivar
B11DIV141	0.0227	0.0121	-0.0024	-0.0069	Cultivar
B11DIV074	0.0228	0.0116	-0.0018	-0.0049	Cultivar
B11DIV298	0.0189	0.0038	-0.0061	-0.0004	Cultivar
B11SA0965	0.0216	0.0091	0.0014	0.0031	Cultivar
B11SA1533	0.019	-0.007	-0.0031	0.0054	Cultivar
B11SA1427	0.0213	-0.0017	-0.0071	-0.0119	Cultivar
B11SA1428	0.0208	-0.0025	-0.0062	-0.0101	Cultivar
B11SA0881	0.0212	0.01	-0.0016	0.0021	Cultivar
B11SA1111	0.0218	0.0117	-0.001	-0.0018	Cultivar
B11SA0940	0.0216	0.011	-0.0006	-0.0004	Cultivar
B11SA1156	0.0227	0.0137	-0.0004	-0.0091	Cultivar
P115HAU079	0.0232	0.0141	-0.0019	-0.0181	Cultivar
P115HAU044	0.0206	0.0119	0.0003	-0.0109	Cultivar
P115HAU043	0.0206	0.0119	0.0003	-0.0109	Cultivar
B11SA1759	0.0179	0.0095	-0.0044	-0.003	Cultivar
B11SA3444	0.0211	0.0093	0.0004	0.0008	Cultivar
P111PD1	0.0231	0.0131	-0.0018	-0.0138	Cultivar
B11DIV255	0.0204	0.0086	-0.0025	0.003	Cultivar
B11DIV256	0.0217	0.0115	-0.0007	-0.001	Cultivar
B11DIV263	0.0216	0.0117	-0.0017	-0.0022	Cultivar
B11DIV273	0.0221	0.0118	-0.0028	-0.0076	Cultivar
B11DIV269	0.0225	0.0116	-0.0033	-0.0078	Cultivar
B11SA2260	0.0212	0.0086	0	0.0009	Cultivar
B11SA1665	0.0217	0.0107	-0.0029	-0.004	Cultivar
B11SA3778	0.022	0.0111	-0.0019	-0.0057	Cultivar
B11SA1596	0.0213	0.0088	-0.0012	0.0045	Cultivar
B11DIV134	0.0207	0.008	-0.0007	0.0067	Cultivar
B11DIV249	0.0215	0.0083	-0.0015	0.0025	Cultivar
B11DIV002	0.0208	0.0085	0.0018	0.0092	Cultivar
B11DIV382	0.0218	0.0097	-0.0012	-0.0003	Cultivar
B11SA0582	0.016	-0.0066	-0.0073	-0.0004	Cultivar
B11DIV310	0.0203	-0.0062	-0.0008	0.0053	Cultivar
B11DIV184	0.0208	-0.0048	-0.005	-0.0034	Cultivar
B11DIV305	0.0212	-0.0044	-0.0049	-0.0059	Cultivar
B11DIV136	0.0216	0.011	-0.0017	-0.0006	Cultivar
P114SA0592	0.0209	0.0029	-0.0035	-0.0025	Cultivar
B11SA1212	0.0222	0.0112	-0.0008	-0.0021	Cultivar
P115HAU085	0.0222	0.0121	-0.0045	-0.0122	Cultivar
B11DIV138	0.0216	-0.0029	-0.0049	-0.0107	Cultivar
B11DIV046	0.0197	-0.0059	-0.0013	-0.001	Cultivar
B11SA1349	0.0207	0.0099	0.0012	0.0068	Cultivar
B11SA3413	0.0171	0.0027	0.0014	0.0069	Cultivar
B11SA3493	0.0202	0.0107	0.0034	-0.0024	Cultivar
B11SA3477	0.0218	0.0121	-0.0004	-0.0022	Cultivar
B11SA2375	0.0211	0.0113	0.0008	-0.0012	Cultivar
B11SA1710	0.0198	0.0114	0.0002	0.004	Cultivar
B11DIV211	0.0195	0.0104	-0.0005	0.0027	Cultivar
B11SA1694	0.0188	0.0054	0.0002	-0.0007	Cultivar
B11DIV373	0.0218	0.0108	-0.0005	-0.0002	Cultivar
B11SA1019	0.02	-0.0062	-0.0016	0.0057	Cultivar
B11DIV209	0.0206	0.0091	0.0003	0.0089	Cultivar
B11DIV048	0.0179	0.005	-0.0014	0.0112	Cultivar
P116D531C	0.0202	0.0056	-0.0041	-0.0187	Cultivar
B11SA1703	0.0168	0.0018	0.0009	0.0201	Cultivar
B11DIV199	0.0214	0.011	0.0031	-0.0042	Cultivar
B11DIV289	0.0222	0.0123	-0.0002	-0.0025	Cultivar
B11SA1044	0.0218	0.012	-0.0006	-0.0008	Cultivar
B11SA1006	0.0215	0.0119	-0.0003	0.0012	Cultivar
B11SA0369	0.0198	0.0081	-0.0002	0.0095	Cultivar
B11DIV030	0.0205	0.0065	0.0044	0.0095	Cultivar
B11DIV033	0.0192	-0.0093	-0.0009	0.0079	Cultivar
B11DIV364	0.0192	-0.0094	-0.0008	0.0077	Cultivar
B11DIV264	0.0193	-0.009	-0.0011	0.0067	Cultivar
B11DIV232	0.0226	-0.0008	-0.0061	-0.0157	Cultivar
B11SA0892	0.0223	-0.0005	-0.0081	-0.0186	Cultivar
P116DixieK	0.0212	0.0066	-0.0049	-0.0205	Cultivar
P115HU213	0.0212	0.0011	-0.0068	-0.0231	Cultivar
P115HAU137	0.0213	-0.0014	-0.0083	-0.0157	Cultivar
P115HAU090	0.0211	-0.0015	-0.0054	-0.015	Cultivar
B11SA0311	0.0206	-0.0033	-0.0071	-0.0056	Cultivar
B11DIV243	0.0202	-0.0034	-0.002	-0.0026	Cultivar
B11DIV169	0.0195	0.0052	0.0022	0.0193	Cultivar
B11DIV119	0.0221	0.0114	0.0018	-0.0025	Cultivar
P111HS26	0.022	0.0121	-0.0007	-0.005	Cultivar
P114SA3783	0.0231	0.0136	-0.0017	-0.0118	Cultivar
B11DIV245	0.0213	0.0091	-0.0001	0.002	Cultivar
B11SA2895	0.0189	0.0084	0.003	0.0156	Cultivar
B11SA3340	0.0196	0.009	0.0015	0.0101	Cultivar
B11DIV237	0.0202	0.0083	0.003	0.0115	Cultivar
B11SA1139	0.0192	0.0049	0.0039	0.0208	Cultivar
B11SA2580	0.0199	0.0074	0.0016	0.0134	Cultivar
B11DIV055	0.0144	0.0019	0.0121	0.0037	Cultivar
B11DIV246	0.0201	0.0107	-0.0001	0.0051	Cultivar
