Sample	Category
SRR4013888	Cultivar
SRR4013889	Cultivar
SRR4013890	Cultivar
SRR4013891	Cultivar
SRR4013892	Cultivar
SRR4013893	Cultivar
SRR4013894	Cultivar
SRR4013895	Cultivar
SRR4013896	Cultivar
SRR4013897	Cultivar
SRR4013898	Cultivar
SRR4013899	Cultivar
SRR4013900	Cultivar
SRR4013901	Cultivar
SRR4014009	Cultivar
SRR4014010	Cultivar
SRR4014011	Cultivar
SRR4014012	Cultivar
SRR4014013	Cultivar
SRR4014014	Cultivar
SRR4014015	Cultivar
SRR4014016	Cultivar
SRR4014017	Cultivar
SRR4014018	Cultivar
SRR4014021	Cultivar
SRR4014022	Cultivar
SRR4014023	Cultivar
SRR4014024	Cultivar
SRR4014025	Cultivar
SRR4014026	Cultivar
SRR4014027	Cultivar
SRR4014028	Cultivar
SRR4014030	Cultivar
SRR4014037	Cultivar
SRR4017354	Cultivar
SRR4017355	Cultivar
SRR4017356	Cultivar
SRR4017357	Cultivar
SRR4018441	Cultivar
SRR4018442	Cultivar
SRR4018443	Cultivar
SRR4018444	Cultivar
SRR4018445	Cultivar
SRR4018452	Cultivar
SRR4018453	Cultivar
SRR4018454	Cultivar
SRR4018455	Cultivar
SRR4018456	Cultivar
SRR4018457	Cultivar
SRR4018459	Cultivar
SRR4018460	Cultivar
SRR4018461	Cultivar
SRR4018462	Cultivar
SRR4018463	Cultivar
SRR4018519	Cultivar
SRR4018522	Cultivar
SRR4018525	Cultivar
SRR4018526	Cultivar
SRR4018527	Cultivar
SRR4018528	Cultivar
SRR4018529	Cultivar
SRR4018530	Cultivar
SRR4018531	Cultivar
SRR4018533	Cultivar
SRR4018534	Cultivar
SRR4018535	Cultivar
SRR4018536	Cultivar
SRR4018537	Cultivar
SRR4018538	Cultivar
SRR4018539	Cultivar
SRR4018540	Cultivar
SRR4018541	Cultivar
SRR4018542	Cultivar
SRR4018543	Cultivar
SRR4018544	Cultivar
SRR4018546	Cultivar
SRR4018547	Cultivar
SRR4018548	Cultivar
SRR4018549	Cultivar
SRR4018550	Cultivar
SRR4018551	Cultivar
SRR4018552	Cultivar
SRR4018553	Cultivar
SRR4018554	Cultivar
SRR4018555	Cultivar
SRR4018556	Cultivar
SRR4018557	Cultivar
SRR4018558	Cultivar
SRR4018559	Cultivar
SRR4018560	Cultivar
SRR4018561	Cultivar
SRR4018562	Cultivar
SRR4018563	Cultivar
SRR4018564	Cultivar
SRR4018565	Cultivar
SRR4018566	Cultivar
SRR4018579	Cultivar
SRR4018580	Cultivar
SRR4018581	Cultivar
SRR4018582	Cultivar
SRR4018583	Cultivar
SRR4018584	Cultivar
SRR4018585	Cultivar
SRR4018586	Cultivar
SRR4018587	Cultivar
SRR4018588	Cultivar
SRR4018589	Cultivar
SRR4018590	Cultivar
SRR4018591	Cultivar
SRR4018592	Cultivar
SRR4018593	Cultivar
SRR4018594	Cultivar
SRR4018595	Cultivar
SRR4018596	Cultivar
SRR4018945	Cultivar
SRR4018946	Cultivar
SRR4018953	Cultivar
SRR4018954	Cultivar
SRR4018955	Cultivar
SRR4018956	Cultivar
SRR4018957	Cultivar
SRR4018958	Cultivar
SRR4018959	Cultivar
SRR4018960	Cultivar
SRR4018961	Cultivar
SRR4018963	Cultivar
SRR4018964	Cultivar
SRR4018965	Cultivar
SRR4018966	Cultivar
SRR4018967	Cultivar
SRR4018968	Cultivar
SRR4018969	Cultivar
SRR4018970	Cultivar
SRR4018971	Cultivar
SRR4018972	Cultivar
SRR4018973	Cultivar
SRR4018974	Cultivar
SRR4018975	Cultivar
SRR4018976	Cultivar
SRR4018977	Cultivar
SRR4018978	Cultivar
SRR4018979	Cultivar
SRR4018980	Cultivar
SRR4018981	Cultivar
SRR4018982	Cultivar
SRR4018983	Cultivar
SRR1580581	Cultivar
SRR1580582	Cultivar
SRS705556	Cultivar
Coker139	Cultivar
SRR1580588	Cultivar
SRR1580589	Cultivar
SRR1580590	Cultivar
SRR1580591	Cultivar
SRR1580592	Cultivar
SRR1580593	Cultivar
SRS705564	Cultivar
SRR1580596	Cultivar
SRR1580597	Cultivar
SRR1580598	Cultivar
SRR1580599	Cultivar
SRR1580600	Cultivar
SRR1580601	Cultivar
SRR1580602	Cultivar
SRR1580603	Cultivar
SRR1580604	Cultivar
SRS705574	Cultivar
SRR1580607	Cultivar
SRR1580608	Cultivar
SRS705577	Cultivar
SRS705578	Cultivar
SRS705579	Cultivar
SRS705580	Cultivar
SRS705581	Cultivar
SRS705582	Cultivar
SRR1580622	Cultivar
SRR1580623	Cultivar
SRR1580624	Cultivar
SRR1580625	Cultivar
SRR1580626	Cultivar
SRS705588	Cultivar
SRS705589	Cultivar
SRR1580632	Cultivar
SRS705591	Cultivar
SRS705592	Cultivar
SRS705593	Cultivar
SRS705594	Cultivar
SRR1580642	Cultivar
SRR1580643	Cultivar
SRR1580644	Cultivar
SRR1580645	Cultivar
SRR1580646	Cultivar
SRR1580647	Cultivar
SRR1580648	Cultivar
SRR1580649	Cultivar
SRR1580650	Cultivar
SRR1580651	Cultivar
SRR1580652	Cultivar
SRR1580653	Wild
SRR1580654	Wild
SRR1580655	Wild
SRS705609	Wild
SRR1580659	Wild
SRR1580660	Wild
SRR1580661	Wild
SRR1580662	Wild
SRR1580663	Wild
SRR1580664	Wild
SRR1580665	Wild
SRR1580666	Wild
SRR1580667	Wild
SRS705618	Wild
SRS705620	Wild
SRR1580672	Wild
SRR1580673	Wild
SRS705623	Wild
SRR1580676	Wild
SRR1580677	Wild
SRR1580678	Wild
SRR1580679	Wild
SRS705628	Wild
SRR1580683	Wild
SRS705630	Wild
SRS705631	Wild
SRS705632	Wild
SRS705633	Wild
SRS705634	Wild
SRR1580695	Wild
SRS705636	Wild
SRS705637	Wild
SRS705638	Wild
SRS705639	Cultivar
SRR1580705	Cultivar
SRR1580706	Cultivar
SRS705642	Cultivar
SRS705643	Cultivar
SRR1580711	Cultivar
SRS705645	Cultivar
SRS705646	Cultivar
SRS705647	Cultivar
SRS705648	Cultivar
SRS705649	Cultivar
SRR1580724	Cultivar
SRR1580725	Cultivar
SRR1580726	Cultivar
SRR1580727	Cultivar
SRS705654	Cultivar
SRR1580730	Wild
SRS705656	Cultivar
SRR1580733	Cultivar
SRS705658	Cultivar
SRS705659	Cultivar
SRR1580738	Wild
SRS705661	Wild
SRS705662	Cultivar
SRS705663	Cultivar
SRS705664	Cultivar
SRR1580747	Wild
SRR1580748	Wild
SRS705667	Wild
SRS705668	Wild
SRS705669	Wild
SRS705670	Cultivar
SRS705671	Cultivar
SRS705672	Cultivar
SRS705673	Cultivar
SRS705674	Cultivar
SRS705675	Cultivar
SRR1580767	Cultivar
SRR1580768	Cultivar
SRR1580769	Wild
SRS705679	Cultivar
SRS705680	Cultivar
SRS705681	Cultivar
SRS705682	Cultivar
SRS705683	Cultivar
SRS705684	Cultivar
SRS705685	Cultivar
SRS705686	Cultivar
SRS705687	Cultivar
SRS705688	Cultivar
SRS705689	Cultivar
SRR1580795	Wild
SRS705691	Wild
SRS705692	Wild
SRS705693	Wild
SRS705694	Wild
SRS705695	Wild
SRS705696	
SRR1580808	
SRS705698	
SRS705699	
SRS2168237	Cultivar
SRS2168238	Cultivar
SRS2168239	Cultivar
SRS2168240	Cultivar
SRS2168241	Cultivar
SRS2168242	Cultivar
SRS2168243	Cultivar
SRS2168244	Cultivar
SRS2168245	Cultivar
SRS2168246	Cultivar
SRS2168247	Cultivar
SRS2168248	Cultivar
SRS2168249	Cultivar
SRS2168250	Cultivar
SRS2168251	Cultivar
SRS2168276	Cultivar
SRS2168252	Cultivar
SRS2168253	Cultivar
SRS2168254	Cultivar
SRS2168255	Cultivar
SRS2168256	Cultivar
SRS2168257	Cultivar
SRS2168258	Cultivar
SRS2168259	Cultivar
SRS2168260	Cultivar
SRS2168261	Cultivar
SRS2168262	Cultivar
SRS2168263	Cultivar
SRS2168264	Cultivar
SRS2168265	Cultivar
SRS2168266	Cultivar
SRS2168267	Cultivar
SRS2168268	Cultivar
SRS2168269	Cultivar
SRS2168270	Cultivar
SRS2168271	Cultivar
SRS2168272	Cultivar
SRS2168273	Cultivar
SRS2168274	Cultivar
SRS2168275	Cultivar
SRS2168277	Cultivar
SRS2168278	Cultivar
SRS2168279	Cultivar
SRS2168281	Cultivar
SRS2168280	Cultivar
SRS2168282	Cultivar
SRS2168283	Cultivar
SRS2168285	Cultivar
SRS2168284	Cultivar
SRS2168286	Cultivar
SRS2168287	Cultivar
SRS2168288	Cultivar
SRS2168290	Cultivar
SRS2168289	Cultivar
SRS2168291	Cultivar
SRS2168292	Cultivar
SRS2168293	Cultivar
SRS2168294	Cultivar
SRS2168295	Cultivar
SRS2168297	Cultivar
SRS2168296	Cultivar
SRS2168298	Cultivar
SRS2168299	Cultivar
