SampleID,SampleID2,Name,Type1,Gene Pool,Country,State,City,Lat2,Lon2,Type
GB-0049,GB0049,,Wild/Landrace,,St. Lucia,Marquis Estate,,13.90,-60.97,Lanrace2
GB-0440,GB0440,,Wild/Landrace,,Costa Rica,Limon,Limon,9.99,-83.03,Lanrace2
GB-0348,GB0348,,Wild/Landrace,,Brazil,Espirito Santo,Bandeira,-20.31,-40.31,Lanrace2
GB-0349,GB0349,,Wild/Landrace,,Brazil,Espirito Santo,Bandeira,-20.31,-40.31,Lanrace2
GB-0376,GB0376,,Wild/Landrace,,Brazil,Para,Belem,-1.45,-48.50,Lanrace2
GB-0426,GB0426,,Wild/Landrace,,Brazil,Para,Belem,-1.45,-48.50,Lanrace2
GB-0193,GB0193,,Wild/Landrace,,Brazil,Goias,,-16.69,-49.26,Lanrace2
GB-0776,GB0776,,Wild/Landrace,,Brazil,Amazonas,Maves,-3.12,-60.01,Lanrace2
GB-0051,GB0051,,Wild/Landrace,,Guyana,Georgetown,,6.81,-58.16,Lanrace2
GB-0052,GB0052,,Wild/Landrace,,Guyana,"Mara Rd., New Amsterdam",,6.25,-57.52,Lanrace2
GB-0053,GB0053,,Wild/Landrace,,Guyana,"Mara, Barbile",,4.98,-59.09,Lanrace2
GB-0337,GB0337,,Wild/Landrace,,Surinam,Nieuw Amsterdam,,5.91,-55.07,Lanrace2
GB-0339,GB0339,,Wild/Landrace,,Surinam,Jodensavanna,,5.42,-54.96,Lanrace2
GB-0382,GB0382,,Wild/Landrace,,Venezuela,Orinoco,,8.08,-63.52,Lanrace2
GB-0386,GB0386,,Wild/Landrace,,Venezuela,Merida,Lake Maracaibo,10.60,-71.76,Lanrace2
GB-0281,GB0281,,Wild/Landrace,,Bermuda Bwi,St. George,,32.39,-64.68,Lanrace2
GB-0636,GB0636,,Wild/Landrace,,Mexico,Michoac_n,Jungapeo,19.46,-100.49,Lanrace1
GB-0457,GB0457,,Wild/Landrace,,Tonga,,,-21.17,-175.19,Lanrace2
GB-0864,GB0864,,Cultivar,,Russia,,,61.76,99.88,Cultivar
GB-0434,GB0434,,Wild/Landrace,,Bolivia,Beni,Reyes,-14.30,-67.34,Lanrace2
GB-0095,GB0095,,Wild/Landrace,,Bolivia,Beni,Ivon Village near Riberalta,-11.13,-66.13,Lanrace2
GB-0102,GB0102,,Wild/Landrace,,Bolivia,La Paz,Aten,-14.92,-68.37,Lanrace2
GB-0113,GB0113,,Wild/Landrace,,Bolivia,Chuquisaca,Carapari Del Rio Grande,-20.26,-63.70,Lanrace1
GB-0119,GB0119,,Wild/Landrace,,Bolivia,Santa Cruz,San Javier,-16.28,-62.51,Lanrace2
GB-0361,GB0361,,Wild/Landrace,,Colombia,Tolima,,4.04,-75.25,Lanrace2
GB-0371,GB0371,,Wild/Landrace,,Colombia,Narino,Mercaderes,1.54,-77.85,Lanrace1
GB-0377,GB0377,,Wild/Landrace,,Colombia,Caqueta,Florencia,1.61,-75.61,Lanrace2
GB-0524,GB0524,,Wild/Landrace,,Colombia,Cauca,"Rio Mandiva, 7K S of Santander",6.50,-72.62,Lanrace2
GB-0428,GB0428,,Wild/Landrace,,Colombia,Santander,,6.70,-73.49,Lanrace2
GB-0430,GB0430,,Wild/Landrace,,Colombia,Putumayo,,0.46,-75.86,Lanrace2
GB-0533,GB0533,,Wild/Landrace,,Colombia,Meta,Puerto Lopez,4.09,-72.96,Lanrace2
