ID,UniqueID,ID_Name,SampleID,SampleName,PI,SRA ID,Species,Type,Latitude,Longitude,Country,State/Province,Place,Region,Races,BamFileName,Memo,,,
58,PL214006,P214GB1030,GB1030,G. barbadense Pima S6,PI608346,SAMN04998803,AD2,Cultivar,34.0489,-111.0937,United States,Arizona,,,,SAMN04998803,,GB-1030,Pima S-6,
59,PL114007,P114TM1,TM1,G. h. Delta TM-1,PI607172,SAMN04998804,AD1,Cultivar,30.6280,-96.3344,United States,Texas,College Station,,,SAMN04998804,Duplicated,SA-2269,TM1  ,
60,PL114008,P114SA1466,SA1466,G. h. Delta DES 56,PI529520,SAMN04998805,AD1,Cultivar,33.4240,-90.9151,United States,Mississippi,Stoneville,Midsouth,,SAMN04998805,,SA-1466,Des 56,
61,PL124009,P124TX0101,TX0101,G. h. latifolium T101,PI163643,SAMN04998806,AD1,Wild,14.1931,-89.9253,Guatemala,Jutiapa,,,Latifolium,SAMN04998806,,TX-0101,,
62,PL124011,P124TX0246,TX0246,G. h. marie-galante T246,PI165395,SAMN04998808,AD1,Wild,17.4392,-99.5451,Mexico,Guerrero,,,Marie-Galante ,SAMN04998808,,TX-0246,,
63,PL124012,P124TX0368,TX0368,G. h. marie-galante T368,PI163695,SAMN04998809,AD1,Wild,14.5704,-89.3369,Guatemala,Chiquimula,Esquipulas,,Marie-Galante,SAMN04998809,,TX-0368,,
64,PL114013,P114SA3783,SA3783,G. h. Plains Paymaster HS200,PI542974,SAMN04998810,AD1,Cultivar,31.9686,-99.9018,United States,Texas,,,,SAMN04998810,,SA-3783,,
65,PL124014,P124TX0018,TX0018,G. h. richmondii T18,PI154026,SAMN04998811,AD1,Wild,16.7516,-93.1030,Mexico,Chiapas,Tuxtala Gutierrez,,Richmondii,SAMN04998811,,TX-0018,,
66,PL124015,P124TX0463,TX0463,G. h. richmondii T463,PI154015,SAMN04998812,AD1,Wild,16.5611,-95.0963,Mexico,Oaxaca,Ixtepec,,Richmondii,SAMN04998812,,TX-0463,,
67,PL124016,P124TX2094,TX2094,G. h. yucatanense TX2094,PI501501,SAMN04998813,AD1,Wild,19.8067,-90.5000,Mexico,Yucatan,Campeche,,Yucatanense,SAMN04998813,Duplicated,TX-2094,,
68,PL124017,P124TX0236,TX0236,G. h. palmeri T326,PI163650,SAMN04998814,AD1,Wild,14.1931,-89.9253,Guatemala,Jutiapa ,,,Palmeri,SAMN04998814,,TX-0236,,
69,PL124018,P124TX0171,TX0171,G. h. morillii T171,PI165305,SAMN04998815,AD1,Wild,17.0732,-96.7266,Mexico,Oaxaca,,,Morillii,SAMN04998815,,TX-0171,,
70,PL124019,P124TX0293,TX0293,G. h. morrillii T293,PI165237,SAMN04998816,AD1,Wild,17.0732,-96.7266,Mexico,Oaxaca,,,Morrillii,SAMN04998816,,TX-0293,,
71,PL124020,P124TX0045,TX0045,G. h. punctatum T45,PI154056,SAMN04998817,AD1,Wild,16.7569,-93.1292,Mexico,Chiapas,,,Punctatum,SAMN04998817,,TX-0045,,
72,PL124021,P124TX0165,TX0165,G. h. punctatum T165,PI163721,SAMN04998818,AD1,Wild,14.9676,-89.5356,Guatemala,Zacapa,Las Carretas,,Punctatum,SAMN04998818,,TX-0165,,
73,PL224022,P224K101,K101,G. barbadense K101,PI528337,SAMN04998819,AD2,Wild,-16.2902,-63.5887,Bolivia,,,,,SAMN04998819,Duplicated,GB-0095,,
74,PL115001,P115HAU001,HAU001,Emian24,,SRR4003068,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4003068,,,,
75,PL115002,P115HAU002,HAU002,Yumian1,,SRR4003074,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4003074,,,,
76,PL115003,P115HAU003,HAU003,Xiangmian13,,SRR4003080,AD1,Cultivar,27.6253,111.8569,China,Hunan,,YangtzeRiver,,SRR4003080,,,,
77,PL115004,P115HAU004,HAU004,Yinshan4,,SRR4003086,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4003086,,,,
78,PL115005,P115HAU005,HAU005,Xinluzao16,,SRR4003095,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4003095,,,,
79,PL115006,P115HAU006,HAU006,Zhongmiansuo12,,SRR3999446,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR3999446,,,,
80,PL115007,P115HAU007,HAU007,Ejing1,,SRR4003140,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4003140,,,,
81,PL115008,P115HAU008,HAU008,94052,,SRR4003147,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4003147,,,,
82,PL115009,P115HAU009,HAU009,Chuanmian30,,SRR4003153,AD1,Cultivar,30.2638,102.8055,China,Sichuan,,YangtzeRiver,,SRR4003153,,,,
83,PL115010,P115HAU010,HAU010,Lumian2,,SRR4003159,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4003159,,,,
84,PL115011,P115HAU011,HAU011,Liaomian7,,SRR4003165,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4003165,,,,
85,PL115012,P115HAU012,HAU012,Liaomian11,,SRR4003171,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4003171,,,,
86,PL115013,P115HAU013,HAU013,Liaomian14,,SRR4003178,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4003178,,,,
87,PL115014,P115HAU014,HAU014,Liaomian15,,SRR4003183,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4003183,,,,
88,PL115015,P115HAU015,HAU015,Jinmian12,,SRR4003189,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4003189,,,,
89,PL115016,P115HAU016,HAU016,Jinmian13,,SRR4006034,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006034,,,,
90,PL115017,P115HAU017,HAU017,Jinmian18,,SRR4006035,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006035,,,,
91,PL115018,P115HU018,HU018,Stoneville4B,PI528690,SRR4006036,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4006036,,,,
92,PL115019,P115HAU019,HAU019,Jinmian28,,SRR4006037,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006037,,,,
93,PL115020,P115HAU020,HAU020,Jinmian36,,SRR4006038,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006038,,,,
94,PL115021,P115HAU021,HAU021,Jimian3,,SRR4006039,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006039,,,,
95,PL115022,P115HAU022,HAU022,Jimian8,,SRR4006040,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006040,,,,
96,PL115023,P115HAU023,HAU023,Jimian11,,SRR4006041,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006041,,,,
97,PL115024,P115HAU024,HAU024,Jimian12,,SRR4006042,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006042,,,,
98,PL115025,P115HAU025,HAU025,Jimian91-19,,SRR4006157,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006157,,,,
99,PL115026,P115HAU026,HAU026,Jimian228,,SRR4006659,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006659,,,,
100,PL115027,P115HAU027,HAU027,Jihe321,,SRR4006660,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006660,,,,
101,PL115028,P115HAU028,HAU028,Han4849,,SRR4006661,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006661,,,,
102,PL115029,P115HAU029,HAU029,Yumian3,,SRR4006662,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006662,,,,
103,PL115030,P115HAU030,HAU030,Yumian11,,SRR4006663,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006663,,,,
104,PL115031,P115HAU031,HAU031,Yumian19,,SRR4006664,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006664,,,,
105,PL115032,P115HAU032,HAU032,Xinluzao1,,SRR4006665,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4006665,,,,
106,PL115033,P115HAU033,HAU033,Xinluzao8,,SRR4006667,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4006667,,,,
107,PL115034,P115HAU034,HAU034,Xinluzao9,,SRR4006668,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4006668,,,,
108,PL115035,P115HAU035,HAU035,Hanmian802,,SRR4006669,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006669,,,,
109,PL115036,P115HAU036,HAU036,Xinluzao22,,SRR4006670,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4006670,,,,
110,PL115037,P115HAU037,HAU037,Xinluzao32,,SRR4006671,AD1,Cultivar,45.5246,87.5396,China,North of Xinjiang,,XinJiang,,SRR4006671,,,,
111,PL115038,P115HAU038,HAU038,Xinluzhong3,,SRR4006672,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4006672,,,,
112,PL115039,P115HAU039,HAU039,Xinluzhong4,,SRR4006673,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4006673,,,,
113,PL115040,P115HAU040,HAU040,Junmian1,,SRR4006674,AD1,Cultivar,40.8246,80.4396,China,South of Xinjiang,,XinJiang,,SRR4006674,,,,
114,PL115041,P115HAU041,HAU041,Emian3,,SRR4006675,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006675,,,,
115,PL115042,P115HAU042,HAU042,Emian6,,SRR4006676,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006676,,,,
116,PL115043,P115HAU043,HAU043,Emian9,,SRR4006677,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006677,,,,
117,PL115044,P115HAU044,HAU044,Emian11,,SRR4006678,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006678,,,,
118,PL115045,P115HAU045,HAU045,Emian15,,SRR4006679,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006679,,,,
119,PL115046,P115HAU046,HAU046,Emian16,,SRR4006680,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006680,,,,
120,PL115047,P115HAU047,HAU047,Jinmian11,,SRR4008910,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4008910,,,,
121,PL115048,P115HAU048,HAU048,Emian19,,SRR4006681,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006681,,,,
122,PL115049,P115HAU049,HAU049,Emian20,,SRR4006682,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006682,,,,
123,PL115050,P115HAU050,HAU050,Sumian4,,SRR4006683,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006683,,,,
124,PL115051,P115HAU051,HAU051,Ekangmian2,,SRR4006684,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006684,,,,
125,PL115052,P115HAU052,HAU052,Ekangmian6,,SRR4006685,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006685,,,,
126,PL115053,P115HAU053,HAU053,Ekangmian7,,SRR4006686,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006686,,,,
127,PL115054,P115HAU054,HAU054,Ekangmian9,,SRR4006687,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006687,,,,
128,PL115055,P115HAU055,HAU055,Ekangmian10,,SRR4006688,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006688,,,,
129,PL115056,P115HAU056,HAU056,Eguangmian,,SRR3999444,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR3999444,,,,
130,PL115057,P115HAU057,HAU057,Esha28,,SRR4006689,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006689,,,,
131,PL115058,P115HAU058,HAU058,Ejing92,,SRR4006690,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006690,,,,
132,PL115059,P115HAU059,HAU059,Xuzhou142,,SRR4006691,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006691,,,,
133,PL115060,P115HAU060,HAU060,Xuzhou209,,SRR4006692,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006692,,,,
134,PL115061,P115HAU061,HAU061,Xuzhou1214,,SRR4006693,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006693,,,,
135,PL115062,P115HAU062,HAU062,Xuzhou1514,,SRR4006694,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006694,,,,
136,PL115063,P115HAU063,HAU063,Sumian2,,SRR4006695,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006695,,,,
137,PL115064,P115HAU064,HAU064,Sumian3,,SRR4006696,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006696,,,,
138,PL115065,P115HAU065,HAU065,Sumian5,,SRR4006697,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006697,,,,
139,PL115066,P115HAU066,HAU066,Sumian8,,SRR4006698,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006698,,,,
140,PL115067,P115HAU067,HAU067,Sukang191,,SRR4006699,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006699,,,,
141,PL115068,P115HAU068,HAU068,Gangmian2,,SRR4006701,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006701,,,,
142,PL115069,P115HAU069,HAU069,Simian2,,SRR4006702,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006702,,,,
143,PL115070,P115HAU070,HAU070,Jinmian1,,SRR4006703,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006703,,,,
144,PL115071,P115HAU071,HAU071,Shanmian9,,SRR4006704,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006704,,,,
145,PL115072,P115HAU072,HAU072,Daihongdai,,SRR4006705,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006705,,,,
146,PL115073,P115HAU073,HAU073,Jing1246,,SRR4006706,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006706,,,,
147,PL115074,P115HAU074,HAU074,Heishanmian1,,SRR4006707,AD1,Cultivar,41.9437,122.5290,China,Liaoning,,North,,SRR4006707,,,,
148,PL115075,P115HAU075,HAU075,Tianmian1,,SRR4006709,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006709,,,,
149,PL115076,P115HAU076,HAU076,Huakangmian1,,SRR4006710,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006710,,,,
150,PL115077,P115HAU077,HAU077,Keyi2,,SRR4006711,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006711,,,,
151,PL115078,P115HAU078,HAU078,Nantong5,,SRR4006712,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4006712,,,,
152,PL115079,P115HAU079,HAU079,Shiduan5,,SRR4006715,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006715,,,,
153,PL115080,P115HAU080,HAU080,Shannongfeng6,,SRR4006716,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4006716,,,,
154,PL115081,P115HAU081,HAU081,Shanong6,,SRR4006718,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006718,,,,
155,PL115082,P115HAU082,HAU082,Ganmian12,,SRR4006719,AD1,Cultivar,27.0875,114.9042,China,Jiangxi,,YangtzeRiver,,SRR4006719,,,,
156,PL115083,P115HAU083,HAU083,Xiangmian13,,SRR4006720,AD1,Cultivar,27.6253,111.8569,China,Hunan,,YangtzeRiver,,SRR4006720,,,,
157,PL115084,P115HAU084,HAU084,Wanmian73-10,,SRR4006721,AD1,Cultivar,30.6007,117.9249,China,Anhui,,YangtzeRiver,,SRR4006721,,,,
158,PL115085,P115HAU085,HAU085,86-1,,SRR4006722,AD1,Cultivar,39.9138,116.3636,China,Beijing,,YellowRiver,,SRR4006722,,,,
159,PL115086,P115HAU086,HAU086,99B,,SRR4006723,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006723,,,,
160,PL115087,P115HAU087,HAU087,SGK321,,SRR4006724,AD1,Cultivar,37.8957,114.9042,China,Hebei,,YellowRiver,,SRR4006724,,,,
161,PL115088,P115HAU088,HAU088,Lumian26,,SRR4006725,AD1,Cultivar,35.8940,117.9249,China,Shandong,,YellowRiver,,SRR4006725,,,,
162,PL115089,P115HU089,HU089,Stoneville4,,SRR4006726,AD1,Cultivar,37.0902,-95.7129,USA,,,,,SRR4006726,,,,
163,PL115090,P115HAU090,HAU090,Jingsimian,,SRR4006727,AD1,Cultivar,37.2426,111.8569,China,Shanxi,,YellowRiver,,SRR4006727,,,,
164,PL115091,P115HAU091,HAU091,Yapengmian,,SRR4006728,AD1,Cultivar,30.7378,112.2384,China,Hubei,,YangtzeRiver,,SRR4006728,,,,
165,PL115092,P115HAU092,HAU092,Jijiaodezimian,,SRR4006730,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4006730,,,,
166,PL115093,P115HAU093,HAU093,Zhongmiansuo36,,SRR4006731,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006731,,,,
167,PL115094,P115HAU094,HAU094,Zhongmiansuo40,,SRR4006732,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006732,,,,
168,PL115095,P115HAU095,HAU095,Zhongmiansuo2,,SRR4006733,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4006733,,,,
